RunID,Date,DAQTimeLapse,DriftField_V_per_cm
361130,2019-06-28 07:19:23,39.0,230.99729241877256
361131,2019-06-28 07:21:06,39.0,231.0063176895307
361132,2019-06-28 07:22:50,38.0,230.97924187725633
361133,2019-06-28 07:24:33,39.0,230.97924187725633
361134,2019-06-28 07:26:17,38.0,231.0063176895307
361135,2019-06-28 07:28:01,38.0,231.0063176895307
361136,2019-06-28 07:29:44,38.0,230.99729241877256
361137,2019-06-28 07:31:28,38.0,230.99729241877256
361138,2019-06-28 07:33:11,39.0,230.99729241877256
361139,2019-06-28 07:34:55,38.0,230.97924187725633
361140,2019-06-28 07:36:38,39.0,230.97924187725633
361141,2019-06-28 07:38:22,39.0,230.99729241877256
361142,2019-06-28 07:40:06,38.0,230.99729241877256
361143,2019-06-28 07:41:51,38.0,231.0063176895307
361144,2019-06-28 07:43:35,38.0,230.97924187725633
361145,2019-06-28 07:45:18,39.0,230.99729241877256
361146,2019-06-28 07:47:02,38.0,230.97924187725633
361147,2019-06-28 07:48:45,39.0,231.0063176895307
361148,2019-06-28 07:50:29,38.0,231.0063176895307
361149,2019-06-28 07:52:13,39.0,230.99729241877256
361150,2019-06-28 07:53:58,39.0,230.97924187725633
361151,2019-06-28 07:55:42,38.0,230.99729241877256
361152,2019-06-28 07:57:25,39.0,230.99729241877256
361153,2019-06-28 07:59:09,39.0,230.99729241877256
361154,2019-06-28 08:00:52,39.0,230.99729241877256
361157,2019-06-28 08:06:04,38.0,231.0063176895307
361158,2019-06-28 08:07:49,38.0,231.0063176895307
361159,2019-06-28 08:10:18,39.0,230.99729241877256
361160,2019-06-28 08:12:02,39.0,231.0063176895307
361161,2019-06-28 08:13:46,38.0,230.99729241877256
361162,2019-06-28 08:15:29,38.0,230.99729241877256
361164,2019-06-28 08:18:56,38.0,230.99729241877256
361165,2019-06-28 08:20:41,38.0,230.99729241877256
361166,2019-06-28 08:22:25,39.0,230.97924187725633
361167,2019-06-28 08:24:11,38.0,230.99729241877256
361169,2019-06-28 08:27:38,38.0,230.99729241877256
361170,2019-06-28 08:29:22,38.0,231.02436823104694
361171,2019-06-28 08:31:06,38.0,230.97924187725633
361172,2019-06-28 08:32:49,38.0,230.97924187725633
361173,2019-06-28 08:34:32,39.0,231.0063176895307
361174,2019-06-28 08:36:18,38.0,231.0063176895307
361175,2019-06-28 08:38:02,38.0,230.99729241877256
361176,2019-06-28 08:39:45,38.0,231.0063176895307
361177,2019-06-28 08:41:29,38.0,230.97924187725633
361178,2019-06-28 08:43:12,38.0,230.97924187725633
361179,2019-06-28 08:44:56,38.0,230.97924187725633
361180,2019-06-28 08:46:39,39.0,230.99729241877256
361181,2019-06-28 08:48:25,38.0,230.99729241877256
361182,2019-06-28 08:50:08,39.0,230.97924187725633
361183,2019-06-28 08:51:52,38.0,230.99729241877256
361184,2019-06-28 08:53:36,38.0,230.99729241877256
361185,2019-06-28 08:55:19,39.0,230.97924187725633
361186,2019-06-28 08:57:03,38.0,230.97924187725633
361187,2019-06-28 08:58:46,39.0,231.0063176895307
361189,2019-06-28 09:02:15,39.0,230.97924187725633
361190,2019-06-28 09:03:59,38.0,230.97924187725633
361191,2019-06-28 09:05:43,38.0,230.99729241877256
361192,2019-06-28 09:07:27,39.0,230.99729241877256
361193,2019-06-28 09:09:12,38.0,231.0063176895307
361194,2019-06-28 09:10:55,39.0,230.97924187725633
361195,2019-06-28 09:12:41,38.0,230.99729241877256
361196,2019-06-28 09:14:24,39.0,230.99729241877256
361197,2019-06-28 09:16:08,39.0,230.99729241877256
361198,2019-06-28 09:17:52,38.0,230.97924187725633
361199,2019-06-28 09:19:35,39.0,231.0063176895307
361200,2019-06-28 09:21:20,39.0,231.0063176895307
361201,2019-06-28 09:23:04,38.0,231.0063176895307
361202,2019-06-28 09:24:48,38.0,230.97924187725633
361203,2019-06-28 09:26:31,39.0,230.99729241877256
361204,2019-06-28 09:28:15,38.0,230.99729241877256
361205,2019-06-28 09:29:59,38.0,231.0063176895307
361206,2019-06-28 09:31:42,38.0,231.0063176895307
361207,2019-06-28 09:33:26,39.0,231.0063176895307
361208,2019-06-28 09:35:09,39.0,230.97924187725633
361209,2019-06-28 09:36:53,38.0,231.0063176895307
361210,2019-06-28 09:38:37,38.0,230.99729241877256
361211,2019-06-28 09:40:22,39.0,230.97924187725633
361212,2019-06-28 09:42:09,38.0,230.99729241877256
361213,2019-06-28 09:43:54,38.0,231.0063176895307
361214,2019-06-28 09:45:39,39.0,230.99729241877256
361215,2019-06-28 09:47:23,38.0,230.97924187725633
361216,2019-06-28 09:49:06,39.0,230.99729241877256
